,Bathyarchaeota_Clade,Tree,SJ75_69-contigs,1015_Q2.40_375,MBMAG207,MBMAG267,MF-4.2.1.10.12.7,MBMAG143,MBMAG619,UBA11852,MF-4.7.5.8,MBMAG220,palsa_986,A05DMB_2,bog_990,Chersky_322,MBMAG531,0116_SJ02_428,AM-2014_bin-0583,fen_993,Zod_Metabat.546,BinDmb219,Bin13_14.8m,Zod_Metabat.411,AS06rmzACSIP_217,SZUA-568,SpSt-546-fixed,0715_SJ02_89,MF-5.3.1.4,Lab288P4bin25-fixed,Emb289P1bin127-fixed,MWv41,0216_BV02_MP12.107.017.filtered,fen_988,14_8_m_bin19,Lab288P4bin61-fixed,SpSt-998-fixed,Nc150P4bin1-fixed,Th196P4bin19-fixed,Nt197P4bin22-fixed,LaPlata_bin-2628,Co191P4bin18-fixed,0715_SJ02_107_054,QUI85_23-contigs-fixed,0116_SJ02_107_027,SpSt-266-fixed,MBMAG405,A05DMB_5,SJ75_4-contigs,1015_Q2.107_481,L.E.AR.18,QZM_B1_bin_37_1,1015_Q2.107_497,L.E.AR.33,1015_Q2.40_586,1015_BV01_concoct_2,BA_16,BA_27,BA_14,BA_11,BA_12,BA_10,BA_4,BA_9,BA_18,BA_1,0116_SJ02_599,Archaea.bin_1,13_1_20CM_2_53_14,BA_7,13_1_40CM_2_52_14,BA_26,13_1_40CM_3_52_10,MBMAG504,0116_SJ02_112,3300010339_29,QUI85_58_2-contigs,MBMAG202,0116_SJ02_40_108,0116_SJ02_40_099,3300025469_14,3300025472_24,1015_Q2_604,0116_SJ02_102,3300017925_10,1015_Q2_151,0116_SJ02_519,1015_Q2.107_002,0216_BV02_MP05.40.187.filtered,fen_987,MAQ_0.bin.072,3300010341_32,1015_Q2.40_006,MAQ.bin.044sta_assembly,QUI85_69-contigs
Zod_Metabat.411,BC1,#E63232,65.16343648,63.91671949,65.40570676,67.95504902,75.38636919,64.36210641,67.73559962,65.17610687,65.38320373,67.60585774,67.46354946,71.60513126,65.03517214,66.60176849,66.36024845,65.69641533,65.56126296,66.87599138,81.6656321,66.62363014,66.56643357,,63.1646978,66.36114519,64.03507194,66.24429916,77.15368567,63.00455801,63.3947983,65.32088983,66.12502623,63.21941598,65.89644243,63.05302254,64.83028046,62.66070574,62.57691854,64.36303665,64.26915064,62.66574755,64.93947368,56.43542216,59.84012658,64.57848485,61.57087156,64.90247585,61.08520992,61.66315789,63.39207617,61.30052356,60.16211499,63.54241677,60.47531328,60.33649237,47.70174419,46.67606383,47.40292398,47.34360614,47.35367647,47.04942363,46.67225705,47.22214854,47.32492355,46.86496815,46.92605863,47.24134615,47.68933934,47.89129747,47.25335917,46.95351759,47.32629179,47.20537975,46.62348703,47.89520833,47.26648936,47.35536993,47.59230769,47.17725753,47.72750557,48.34633028,47.15846395,47.22577778,47.47880859,47.16010929,46.38525074,47.84646643,46.80241692,47.14718615,47.53796477,48.83640351,47.26047794,47.65419753,47.95519126
AS06rmzACSIP_217,BC1,#E63232,64.51590909,63.72891332,66.36623422,68.05032415,61.52232143,65.88724076,66.91957809,61.0650514,59.87548148,68.91418827,67.88153512,62.86307524,66.55569899,64.05861759,66.11715426,64.9500502,69.38292683,69.88400547,62.54518072,68.95109929,66.82327718,63.1646978,,70.00578203,73.54189369,65.39257384,62.9541507,65.61845088,71.22810676,61.73,65.5443134,67.52753988,59.46284224,70.58554408,73.37991657,64.9685226,64.26197257,66.07889638,69.70056689,65.10130152,65.28245257,53.34518072,56.9552506,59.59229323,57.52227926,59.24270588,57.86678445,58.09970703,58.48065134,57.46380449,57.51287594,58.50325,56.44965438,55.97489496,47.49609375,46.60490506,46.95602241,46.44965831,46.58871866,46.41230366,46.4213881,46.02655889,46.87394578,46.61166667,46.27520216,46.01112853,46.59532578,47.50271903,46.27930622,45.94581448,46.30110497,47.65703812,46.23573232,47.36354167,46.98676976,47.46579521,47.59398396,47.11180982,47.77846639,47.60174263,46.56891892,46.87723658,47.37300885,47.16322816,46.73050139,47.17990506,46.29413265,47.44527311,47.32656766,48.1604712,46.4,46.39085239,46.95487572
SZUA-568,BC1,#E63232,68.26719243,67.8189313,70.35495833,71.86767123,64.03987936,69.16778116,71.67371179,64.06899038,61.57719735,71.96564537,72.68325123,67.32068966,70.63722182,66.28873704,70.44591633,69.8103588,74.04411523,74.81795491,66.37795432,73.28114334,69.2620462,66.36114519,70.00578203,,72.04642553,69.73363988,66.2421875,66.27336272,70.03048204,64.78147993,71.0839801,70.82962963,63.07877358,70.31666667,71.64813375,65.67457912,65.74708285,67.7736019,70.85099857,66.10903409,68.47139673,55.44634986,58.91997389,61.73256625,60.24092506,62.06789116,58.99654812,59.34887526,60.75134771,59.0982659,59.61188525,60.67846568,58.78524173,59.57329268,46.97714844,46.45138408,46.88194444,46.95675,46.78045455,46.47374631,46.17802548,46.64056604,46.50224551,46.44732441,46.67523364,46.7075,46.6384858,48.04488818,46.65945946,46.50363409,46.83985075,47.16909385,46.83923513,46.94846154,47.20280899,47.70745721,47.56502732,46.75618729,47.57561247,47.63862974,46.65146199,47.11782511,47.31062992,46.87335244,47.13772189,47.05509868,46.16526611,47.37567568,47.61145038,48.15084986,46.22894737,46.84902439,47.38614958
SpSt-546,BC1,#E63232,65.47757256,65.46917989,68.28273767,69.22578313,61.04051508,66.61864629,69.18226788,62.28883861,59.38589951,68.85606236,70.31887937,65.09267399,67.85977603,65.10362903,67.74366554,66.47585492,71.95602322,72.41674497,64.41861345,72.05286602,66.92439887,64.03507194,73.54189369,72.04642553,,67.46987069,62.76986301,66.06325088,73.34864754,63.52980085,68.53933333,68.90497925,60.59476902,72.67818182,76.31888192,64.9950611,65.67045696,67.06933884,70.76009281,65.4875,66.09162162,53.98840304,57.340625,60.93036145,58.31391534,61.07033694,57.62966102,58.7270297,59.82439173,58.14213264,57.42312253,59.53679809,56.70935252,58.04891068,47.44581749,46.48452769,47.07773224,46.56170213,46.88553371,46.19435262,45.94865672,46.52437186,46.63314448,46.23418675,46.64097633,46.5629393,46.27227011,47.50617816,46.54862843,45.93025701,46.37709497,46.64619883,46.23324538,47.13547794,46.90872727,47.44684685,48.01902174,46.62745098,47.4212766,47.3312,46.56592798,46.98716356,47.28045872,46.66628499,46.94807122,47.37418831,46.24684932,47.32059448,47.53527778,48.38705234,47.18901274,47.46674365,46.5125
0715_SJ02_89,BC1,#E63232,75.05401376,74.81021992,74.96707904,76.06448413,63.39510926,74.79624573,74.05348036,63.94239865,62.42970297,76.59482544,74.20942368,66.31646909,71.52332449,65.8832205,74.43967391,80.52269965,69.95430602,71.87947368,66.18509664,69.73738075,69.08539823,66.24429916,65.39257384,69.73363988,67.46987069,,65.49419771,66.32596302,66.51126078,62.96105807,73.25540788,67.60410377,62.20615942,66.3990135,67.64655431,64.9848883,64.65936709,66.31322614,66.878482,64.8740458,74.37305195,56.06811955,59.46308017,61.95970996,59.93290106,61.85019133,60.68959044,60.9769084,61.07204161,59.42249322,60.72236842,61.00501319,59.49988962,59.10432489,48.13745387,47.25330033,47.74354396,47.42149644,47.24209809,46.84516539,47.18532764,46.84806378,47.67908309,46.70956873,47.16396277,47.0507764,47.47349398,47.88110465,47.06164557,46.18460648,47.5851735,47.30955679,47.01621622,47.13460145,46.4128483,47.47509804,47.6982679,46.85055249,47.04639469,47.12389034,46.925,47.25460993,47.24266263,46.52702703,46.9606357,47.6175,46.44846336,47.21808511,46.73203812,47.9239418,46.28811728,46.55922921,47.57258979
MF-5.3.1.4,BC1,#E63232,62.30825359,62.79505495,64.28120525,66.48273333,73.92588141,63.81758721,66.38530559,64.21428571,64.70998043,66.2757384,65.94542254,70.81769759,63.46628223,64.70787234,66.18424069,64.87160194,64.98499345,64.72248175,77.05298103,66.62964109,65.23869565,77.15368567,62.9541507,66.2421875,62.76986301,65.49419771,,62.18992172,62.27909897,61.28256131,65.43376891,60.91017391,64.71077441,62.14473304,62.12252441,61.45804598,61.74153675,62.2376588,62.23755319,61.65326087,62.46621924,55.74946237,59.61166134,63.78936842,61.04268657,64.39,60.02428571,61.28256757,62.98013356,60.32028825,59.54717742,62.41049005,61.08333333,60.14478873,48.10305164,45.86302521,47.39906716,46.54358553,47.46727273,46.41586716,45.76482213,46.63724832,46.76546185,47.33693182,46.07489712,46.50086207,46.83292181,47.38806584,46.46637931,46.63034056,46.29066901,46.36280488,45.75212766,46.91359649,46.27928177,47.63802589,47.57596491,46.88035714,47.71422018,47.87868217,46.61985294,46.65292479,47.23944724,46.45113269,47.28593156,47.24634703,47.40484429,47.40885417,47.67002519,47.70970696,45.78776824,47.05322581,46.53174342
Lab288P4bin25,BC1,#E63232,63.2776618,64.12848837,65.09585799,66.62453826,60.4740448,64.95678514,65.76674787,60.71002227,59.97520492,68.08541226,65.9046875,64.40487013,65.42786017,63.6522997,65.47315234,65.9988785,66.82728426,65.76458583,63.06857143,67.26505945,67.68337182,63.00455801,65.61845088,66.27336272,66.06325088,66.32596302,62.18992172,,66.70612717,61.79528302,66.03441128,64.29725434,60.8332996,66.37839757,65.11266892,75.77527778,76.51619576,77.45879374,64.11701149,80.32332985,64.35691964,53.75670628,57.94849057,59.92781753,57.51903633,60.34813084,58.23759494,58.54723127,59.3997093,57.09632075,57.99647239,59.31060606,57.13541667,56.87738516,47.44453125,47.35535714,47.69166667,47.14259868,47.35862069,47.20968379,46.54460581,47.08776224,47.30371901,46.81805556,46.8703252,46.92524038,47.64858871,47.66721311,46.81254296,46.41672297,46.88861004,47.56687243,46.22818182,47.41552632,46.142827,46.91559633,47.68528302,46.73066667,47.75015152,47.57479675,46.79539749,47.12779412,47.02859008,47.32846715,46.69545455,47.738,46.02318548,47.02412791,46.86253071,48.11227437,46.93518519,46.54798271,47.26193353
Emb289P1bin127,BC1,#E63232,64.95052395,65.26809045,66.68185185,67.72949413,61.10653105,66.10536481,67.25172414,61.25070175,59.95187296,69.19750378,67.53058577,63.9839102,66.78175287,63.6380597,66.52837022,66.82548638,70.21283725,70.26989422,63.0122429,70.2978684,65.92943144,63.3947983,71.22810676,70.03048204,73.34864754,66.51126078,62.27909897,66.70612717,,61.5977707,67.07345475,67.02173913,59.81461087,80.97831439,71.93728497,66.06418853,65.2629562,67.20030326,68.96671598,66.79744424,65.78369748,53.2496749,56.08915493,59.66352459,57.37121212,60.07348378,57.80629845,57.54295302,58.56151645,57.69102564,58.17638249,59.0596615,57.28342857,56.43363874,47.46443966,45.99404332,47.125,46.11266491,46.73599349,46.25332278,45.81722408,46.36288515,46.26176471,46.10848057,45.92294521,45.89942529,46.5565,47.21566667,46.28826816,46.24013333,46.30461783,47.94302326,46.11937322,47.37532189,46.83550725,46.73752969,47.42904192,46.81314879,47.57611386,47.57774295,46.59245902,46.72343387,47.02226891,46.78673469,46.62961783,47.81406844,46.11640379,46.90995316,46.59519409,48.47770701,46.0525,46.3029274,46.39978495
MWv41,BC1,#E63232,62.18327251,61.56938776,63.40829918,63.75302115,60.75373134,62.33256803,63.58831351,63.24505095,58.45904412,64.1628,65.13450557,65.61008011,63.76973918,71.78429238,62.87264753,62.08865385,63.83281136,64.67588727,65.2464687,64.14868421,63.11915456,65.32088983,61.73,64.78147993,63.52980085,62.96105807,61.28256131,61.79528302,61.5977707,,62.77292912,62.39307502,60.36376202,61.51018809,63.28548683,62.50403826,62.57092902,63.36920758,60.82023661,61.78022244,62.70805838,54.96488423,57.96829004,62.0641055,58.79480642,61.58243824,59.4392562,58.6786927,59.96191766,59.8189759,57.94368512,59.87870075,57.74917695,57.65815534,47.95213115,46.75979827,46.97283654,46.85251572,47.02339109,46.59361702,46.101375,46.61642105,47.32262211,45.99958791,46.72818182,46.55371429,46.66228501,47.84193989,47.05153509,46.45559006,46.92066015,47.58118687,46.3994382,47.26633987,46.56753846,47.1023855,47.67400468,46.19589947,47.32393321,47.88514151,46.63110329,46.81254448,47.01934713,46.88022989,46.32068127,47.62217391,46.74459135,47.22563601,47.65981013,48.11243842,45.95581081,46.62711198,47.25274914
0216_BV02_MP12.107.017,BC1,#E63232,71.68600543,72.22830882,71.78893805,75.74112022,64.2124031,72.00499495,74.39940527,63.96904762,61.90521368,77.07046512,76.0301676,66.72757386,72.44073401,66.06750256,74.10551257,72.52818182,71.20611413,73.10069162,66.08697219,71.42349235,70.13549822,66.12502623,65.5443134,71.0839801,68.53933333,73.25540788,65.43376891,66.03441128,67.07345475,62.77292912,,68.20501931,62.50030722,66.86446809,69.17961808,65.14803647,64.7977027,66.72015251,67.8137574,64.85373444,70.49568835,55.52346257,59.21762014,62.84303448,60.20516274,62.61927878,60.59749071,60.18426501,61.65711297,59.89971711,60.54166667,61.23562753,59.67589499,60.06165254,48.32246964,47.37395105,47.94290221,47.07305764,47.08648649,47.68193642,47.62186495,47.12738693,47.46417197,47.16606607,47.63901099,47.88929825,47.95016722,48.13152866,47.61826087,46.3390625,47.76459732,47.32329932,47.39767123,47.31561086,47.28011364,47.79949367,48.54256757,47.47806452,47.99555035,48.17591973,47.45040761,47.74831933,46.97580645,47.11588785,47.18157895,48.01460674,47.58679487,47.9576555,47.35209472,48.83033333,47.28915441,47.18610422,47.52793765
fen_988,BC1,#E63232,65.98060921,66.04920749,68.61487219,70.65477876,60.73838527,67.50893195,70.77728416,60.55829384,58.90388788,70.00509554,71.70449438,63.85890957,70.38363836,65.22553502,68.94505597,67.85231377,76.70503145,77.59351082,63.5158668,69.78741438,67.71419458,63.21941598,67.52753988,70.82962963,68.90497925,67.60410377,60.91017391,64.29725434,67.02173913,62.39307502,68.20501931,,60.26195988,66.9922549,70.36315396,63.44587629,63.97725031,65.56263791,67.5679972,63.93229695,66.76828035,54.25146444,56.39635417,59.40262431,58.3699187,59.66359223,57.46547619,58.34690083,58.41148936,57.26477795,58.19501085,58.38803596,57.92709832,57.37664234,46.23481781,45.59869888,45.69044586,45.94624665,45.55,46.30666667,45.70222603,46.46565789,46.8490228,45.96152542,45.82852459,45.86041667,45.48766026,47.36165541,46.36197605,46.00300546,46.26733333,46.67619808,45.69685714,46.88988095,45.8409434,46.95579897,46.62614943,46.80460993,46.83852459,47.65216718,46.70903427,46.48340909,46.89872611,45.95543175,46.26188925,47.01899225,45.78381924,46.3780303,47.03106383,47.29905363,45.87118959,46.27337662,46.19495913
14_8_m_bin19,BC1,#E63232,60.84151376,61.23295964,61.26388889,63.07174497,63.88748412,60.8959588,62.72680879,62.51735358,70.41395161,64.16645299,63.6185254,64.90906832,61.99017341,61.98105634,62.57327327,62.45325342,61.53622251,62.15844981,65.70626598,61.85438144,63.405875,65.89644243,59.46284224,63.07877358,60.59476902,62.20615942,64.71077441,60.8332996,59.81461087,60.36376202,62.50030722,60.26195988,,60.04692192,60.6287594,59.3357868,59.63775168,60.31223022,59.53057471,59.84169521,60.27421687,54.35099458,58.5518315,60.52084775,58.38485086,60.29520906,58.31164557,58.28656069,59.37764811,57.86596958,57.64857955,59.64144852,57.47797203,57.93571429,46.91243655,46.31105769,46.38007663,46.29584775,46.2620155,45.9342803,45.20207469,45.21094276,46.60204918,45.67689394,45.75735294,45.95044843,45.88290043,46.1776,46.52269625,46.55297806,46.65576132,47.68004386,46.57310606,46.80618557,46.1606599,47.16479751,47.37,46.67258065,46.82588235,47.34419087,46.67949219,46.95203762,46.89465116,46.68527397,47.37165992,48.0095122,46.06966292,46.58523677,46.27785548,48.41803922,47.07560386,46.3658209,47.22147436
Lab288P4bin61,BC1,#E63232,64.75080175,64.63014019,66.51050319,67.52589208,60.89502618,66.44262721,67.12129707,61.1077187,59.83673633,68.95548872,68.06489362,63.51309735,67.02373239,63.27931563,66.61904297,65.71609964,69.74857023,70.11299368,62.52686782,69.61242291,65.53125,63.05302254,70.58554408,70.31666667,72.67818182,66.3990135,62.14473304,66.37839757,80.97831439,61.51018809,66.86446809,66.9922549,60.04692192,,71.74150875,66.04734848,65.4041521,67.44208274,68.43082596,66.73859797,65.11296875,53.67699742,57.2533046,59.45393333,57.3783105,59.52771739,57.99873786,57.28352144,58.22947295,57.18976778,57.9865991,58.57633053,57.31212121,56.07512136,46.51673469,46.50842105,46.71017964,46.78746736,46.54097859,46.42477064,46.30363036,46.53007916,46.47789969,46.40684932,46.27256494,46.3088015,46.35699088,47.41226115,46.28436658,46.03203518,46.45121951,47.43850932,45.79863014,46.58422053,47.18032491,46.90481651,47.37068966,46.89931507,47.50336427,47.38284884,46.40490506,46.60668151,46.89249493,47.00168067,46.43256173,46.93732639,45.94912023,47.00046083,46.9808958,47.87594752,46.09102113,46.03788889,46.17763713
SpSt-998,BC1,#E63232,66.20638051,65.9221709,68.66450094,69.75852192,61.32806604,67.41557067,69.47583937,62.28024425,59.66425305,69.26283368,70.60514658,65.01189857,69.04391061,65.05327804,68.38211921,67.37231664,72.56556848,73.3267094,64.41590909,71.29003115,66.82839744,64.83028046,73.37991657,71.64813375,76.31888192,67.64655431,62.12252441,65.11266892,71.93728497,63.28548683,69.17961808,70.36315396,60.6287594,71.74150875,,64.40832517,65.23597748,66.8398265,70.94213062,65.27949749,66.9124235,54.07351624,57.18684211,60.88748616,58.39842007,61.1007535,57.67436548,58.97594595,59.76440953,58.57010251,58.05743007,59.46695187,57.21320346,57.58350101,47.05407166,46.40898876,46.4965311,46.8,46.51068796,46.4705036,45.94386189,46.76616052,46.64792176,46.22911051,46.40668258,46.60028571,46.09715347,47.58544974,46.69490239,46.21252546,46.87883663,46.74700748,46.07989011,46.74047619,47.30963855,47.47207031,47.75225118,46.83337989,47.40521978,47.68266033,46.72966507,46.8618231,46.87703533,46.50855856,46.22857143,47.10777126,46.18624709,46.96139489,47.21411856,47.82768293,46.37276786,46.91952479,46.22995951
Nc150P4bin1,BC1,#E63232,62.05959032,63.08651911,65.51582774,65.9442446,59.90321181,64.47167139,66.23532483,60.74178357,59.09163265,66.62326642,65.41,63.85132013,64.82857802,62.68630051,65.01425676,64.57689145,66.00429208,65.50207039,62.34306872,66.72252503,67.26302083,62.66070574,64.9685226,65.67457912,64.9950611,64.9848883,61.45804598,75.77527778,66.06418853,62.50403826,65.14803647,63.44587629,59.3357868,66.04734848,64.40832517,,74.22450091,76.98352649,64.09414141,75.31059044,63.50841584,53.54423077,57.09285714,59.19663093,57.62782012,59.64131494,57.88668224,57.34971671,58.64633943,56.94097808,56.94229692,58.53130148,56.56550523,56.46210692,46.77193396,46.56104418,47.01272727,46.54058824,46.18241379,46.60821429,45.68222222,46.41164596,46.23655914,46.07873563,46.05543478,46.29833333,46.66296296,47.04893993,45.94640719,45.94298507,46.10933099,46.80194553,46.47307692,47.2399061,46.36946565,46.41368715,47.17275641,46.2125,47.15482574,47.39810345,46.57277778,46.97096774,46.82197674,46.66873016,46.02944251,47.17008032,45.92909408,47.3255814,46.94225182,47.86282468,46.1203252,46.58472222,46.65968586
Th196P4bin19,BC1,#E63232,62.41539235,62.89455253,65.01399573,65.83688431,59.32889073,64.10088315,65.59063169,60.14961089,59.03561368,66.57534602,65.87738821,63.30997877,64.89367816,62.54875467,64.79787918,64.18606811,65.01524641,65.55237134,62.19754566,65.88851931,67.02329317,62.57691854,64.26197257,65.74708285,65.67045696,64.65936709,61.74153675,76.51619576,65.2629562,62.57092902,64.7977027,63.97725031,59.63775168,65.4041521,65.23597748,74.22450091,,76.74101401,63.73378641,75.32072772,63.60169492,53.43779343,56.55775578,59.64954476,57.6299569,59.77321712,56.32251244,57.25727763,58.5503268,57.09494949,57.06434316,58.00968504,56.66864952,55.92427746,46.63355263,46.40555556,46.9797619,46.38275862,46.48110368,46.68055556,46.09144487,46.74876543,46.54442446,46.1379845,45.91921708,45.83661417,46.44189655,47.24584838,46.4819403,46.16828571,46.26579861,46.93164794,45.93317757,47.7412844,46.72116935,47.22162921,47.0474359,46.27481061,47.70813008,47.48953488,46.10563636,46.77920918,46.70089485,46.55496894,46.05736301,47.3875,45.77491694,46.94642857,46.86643678,47.52531646,46.34326531,46.5239782,46.7650974
Nt197P4bin22,BC1,#E63232,64.52913562,64.17779553,66.65914688,67.58226717,59.88029661,65.52877155,67.67201258,61.61472603,59.53758929,67.87621502,67.85693277,64.39188713,66.54514493,63.79202675,66.69410526,65.44364982,67.30475367,67.79644317,63.88962264,67.91681574,68.30291859,64.36303665,66.07889638,67.7736019,67.06933884,66.31322614,62.2376588,77.45879374,67.20030326,63.36920758,66.72015251,65.56263791,60.31223022,67.44208274,66.8398265,76.98352649,76.74101401,,65.46563444,76.60876494,64.4221875,54.51580977,57.35768194,60.63259162,58.09170616,60.70087131,58.65478516,57.85709677,59.70949454,58.18241679,57.53115632,59.38859649,57.17896825,57.02014563,46.7802682,46.42457627,46.8310241,46.198,46.83847305,46.49569733,46.0837963,46.31160714,46.63541667,46.3105802,46.06085627,46.01035088,46.47646154,47.20862069,46.19559585,45.76930693,46.20735736,46.56504702,46.15772358,46.80018868,46.77913793,46.92493947,47.46942857,46.71911263,47.69734411,47.36666667,46.33726994,46.79858079,46.70019417,46.76042781,46.22734139,47.49496528,46.2622449,46.81508621,46.8761477,48.12217514,46.62857143,46.60853081,45.89979253
LaPlata_bin-2628,BC1,#E63232,65.22112832,64.34270588,67.27221519,69.10384615,61.03377704,65.81923701,67.89508197,61.19574209,59.32901235,70.06179138,69.21896334,64.67180556,67.11919592,64.19700787,66.6251926,66.96696589,71.1454,70.99147795,63.42143963,70.89448871,65.55979263,64.26915064,69.70056689,70.85099857,70.76009281,66.878482,62.23755319,64.11701149,68.96671598,60.82023661,67.8137574,67.5679972,59.53057471,68.43082596,70.94213062,64.09414141,63.73378641,65.46563444,,64.14452055,66.45858209,53.36617336,57.78087649,60.03272532,58.65184502,60.17226804,58.2267341,58.35016892,58.98417339,57.55423341,58.07868852,58.99541578,56.7725,57.91118881,45.67321429,44.8877907,45.89452381,45.7622449,45.7145933,45.30234742,45.25151515,45.5482906,46.03375,45.74973684,45.3759434,45.57647059,45.66418269,46.54692308,46.02795455,46.01303419,45.69550265,47.00502513,45.56613636,47.33265306,46.32993631,46.28855422,47.4677665,46.64787879,46.53196721,47.38705584,45.64605911,46.13307692,46.69690722,45.66598174,45.92333333,45.81058824,45.29260204,46.94314815,46.00517751,46.78479381,45.21724138,45.91896552,46.3771987
Co191P4bin18,BC1,#E63232,62.47513228,63.4488,65.05484694,66.28028409,60.41949878,64.42318436,65.7666841,60.51607495,59.8924408,67.52125693,66.50182796,63.66077258,65.39573171,63.125,65.02713921,64.91931638,66.06639698,65.96610526,62.33452521,66.26918033,66.91476578,62.66574755,65.10130152,66.10903409,65.4875,64.8740458,61.65326087,80.32332985,66.79744424,61.78022244,64.85373444,63.93229695,59.84169521,66.73859797,65.27949749,75.31059044,75.32072772,76.60876494,64.14452055,,63.78441065,53.47355126,56.89621711,59.72838661,57.46833791,60.11046699,57.94547564,57.52451791,58.40653226,57.02158333,57.44637097,58.22040816,56.81895973,56.03709199,46.68266667,46.09603175,46.57840136,46.02915493,46.39338983,46.37972028,45.54704797,46.29353846,46.31956522,46.06343874,45.60376344,45.83298755,46.03055556,46.80851449,46.1553681,45.68173913,45.75188356,47.0759058,46.17603834,47.33807339,46.05057692,46.99868421,47.29838188,46.46756198,47.74642857,47.44270833,46.45981481,46.64261658,46.64732558,46.58296875,45.9019573,46.8003876,45.68542373,46.86858974,46.68184713,47.42274194,46.30717213,45.72664141,46.65453333
0715_SJ02_107_054,BC1,#E63232,69.62995736,74.70136452,77.89090909,72.97789948,61.66884615,74.93298755,71.38304498,62.14636119,60.63303797,73.49451098,70.04083333,64.66385373,69.92829989,64.62548077,70.91696035,73.71141791,69.01544218,69.50774834,64.79560531,68.78302817,66.10280749,64.93947368,65.28245257,68.47139673,66.09162162,74.37305195,62.46621924,64.35691964,65.78369748,62.70805838,70.49568835,66.76828035,60.27421687,65.11296875,66.9124235,63.50841584,63.60169492,64.4221875,66.45858209,63.78441065,,54.01912955,58.73900344,60.26936543,58.60822898,60.8558296,58.90327103,57.52389078,59.00376712,58.32077465,58.6142623,59.00841014,58.41862348,58.90690236,46.27623457,46.17537688,46.17299578,46.01254417,45.74670782,45.4613879,46.10041152,46.00344828,45.87521739,45.62440945,46.09567901,46.77931034,45.74471154,46.47017167,45.77592593,45.38636364,46.06824324,46.67660099,45.82307692,46.6025974,45.8740566,46.10274914,47.27159091,46.55787037,46.33386581,46.78259804,45.50404412,46.68471338,46.18588391,45.03101266,46.0299569,46.49162011,45.01130952,46.38737024,46.24185751,47.32719298,45.87135922,46.21151316,45.6485623
QUI85_23,BC15,#F8961E,57.15267857,55.4456,55.94585576,56.28267717,56.58132911,55.23510499,56.88737864,55.95778252,54.5792887,56.54228856,56.5248179,57.35005656,55.34689622,55.87747462,55.78079268,55.79496403,55.02700946,55.43023256,56.24209827,55.45157195,55.10858051,56.43542216,53.34518072,55.44634986,53.98840304,56.06811955,55.74946237,53.75670628,53.2496749,54.96488423,55.52346257,54.25146444,54.35099458,53.67699742,54.07351624,53.54423077,53.43779343,54.51580977,53.36617336,53.47355126,54.01912955,,56.72030516,59.05703226,57.88002208,59.19150124,59.38926117,57.93117761,58.45954433,56.65722461,56.54728916,57.73583639,57.04558824,56.29022472,48.3275076,48.03347222,48.38275463,47.96568047,48.04686747,47.59339623,46.86279904,47.84134809,47.75424528,47.57729659,48.41002415,47.85989011,47.94631829,48.93104738,47.80030426,47.74320487,48.08840749,48.11534653,48.51935123,47.93234375,47.55436747,48.90448065,48.70516432,47.69484127,49.04497258,49.8764268,49.04172932,48.66185383,48.92086743,48.86076087,47.8528536,48.67049419,47.94716553,48.27972167,49.25514469,49.6625,47.45784024,49.31752577,49.073021
0116_SJ02_107_027,BC3,#F3722C,57.74074074,59.67910714,58.85244821,60.86518438,58.54334204,58.67584951,59.67977941,59.3899635,59.30127273,59.74252669,60.02991361,60.12286325,58.43907942,59.7345297,60.01329268,59.42481013,58.45057471,58.99151786,60.41586902,58.56273585,59.0522541,59.84012658,56.9552506,58.91997389,57.340625,59.46308017,59.61166134,57.94849057,56.08915493,57.96829004,59.21762014,56.39635417,58.5518315,57.2533046,57.18684211,57.09285714,56.55775578,57.35768194,57.78087649,56.89621711,58.73900344,56.72030516,,66.30757895,87.21557272,66.42322581,64.12631579,68.09954683,65.20273349,63.63081264,63.79384384,64.70065217,64.47797619,63.86694079,47.8502924,48.17360406,47.93973214,47.34767025,47.38296943,46.99828326,47.56233184,47.52275986,48.07349138,47.75,48.8693617,48.65689655,47.54243902,48.60972222,47.29140625,46.91509091,47.75885167,51.00114943,49.57311828,54.8484472,53.28012048,52.04605634,53.5154519,52.67100694,52.73716814,51.68675214,49.55788644,54.47688312,55.56355236,49.16890411,49.6141844,51.22300469,50.81253644,51.52643678,51.25033259,52.32104072,49.48212766,49.62997199,49.64222874
